backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx32_by04,run0,0,0.369760
gpu,1,256,163840,uniform,V1_bx32_by04,run1,1,0.365440
gpu,1,256,163840,uniform,V1_bx32_by04,run2,2,0.367072
gpu,1,256,163840,uniform,V1_bx32_by04,run3,3,0.367040
gpu,1,256,163840,uniform,V1_bx32_by04,run4,4,0.365824
gpu,1,256,163840,uniform,V1_bx32_by04,run5,5,0.366688
gpu,1,256,163840,uniform,V1_bx32_by04,run6,6,0.366688
gpu,1,256,163840,uniform,V1_bx32_by04,run7,7,0.365312
gpu,1,256,163840,uniform,V1_bx32_by04,run8,8,0.365440
gpu,1,256,163840,uniform,V1_bx32_by04,run9,9,0.366560
gpu,1,256,163840,uniform,V1_bx32_by04,run10,10,0.366624
gpu,1,256,163840,uniform,V1_bx32_by04,run11,11,0.365568
gpu,1,256,163840,uniform,V1_bx32_by04,run12,12,0.366688
gpu,1,256,163840,uniform,V1_bx32_by04,run13,13,0.366464
gpu,1,256,163840,uniform,V1_bx32_by04,run14,14,0.365664
gpu,1,256,163840,uniform,V1_bx32_by04,run15,15,0.367616
gpu,1,256,163840,uniform,V1_bx32_by04,run16,16,0.366976
gpu,1,256,163840,uniform,V1_bx32_by04,run17,17,0.366656
gpu,1,256,163840,uniform,V1_bx32_by04,run18,18,0.365280
gpu,1,256,163840,uniform,V1_bx32_by04,run19,19,0.366528
gpu,1,256,163840,uniform,V1_bx32_by04,run20,20,0.366816
gpu,1,256,163840,uniform,V1_bx32_by04,run21,21,0.366432
gpu,1,256,163840,uniform,V1_bx32_by04,run22,22,0.365280
gpu,1,256,163840,uniform,V1_bx32_by04,run23,23,0.366528
gpu,1,256,163840,uniform,V1_bx32_by04,run24,24,0.366880
gpu,1,256,163840,uniform,V1_bx32_by04,run25,25,0.366944
gpu,1,256,163840,uniform,V1_bx32_by04,run26,26,0.365312
gpu,1,256,163840,uniform,V1_bx32_by04,run27,27,0.367008
gpu,1,256,163840,uniform,V1_bx32_by04,run28,28,0.366656
gpu,1,256,163840,uniform,V1_bx32_by04,run29,29,0.367104
gpu,1,256,163840,uniform,V1_bx32_by04,run30,30,0.365472
gpu,1,256,163840,uniform,V1_bx32_by04,run31,31,0.365216
gpu,1,256,163840,uniform,V1_bx32_by04,run32,32,0.366848
gpu,1,256,163840,uniform,V1_bx32_by04,run33,33,0.366752
gpu,1,256,163840,uniform,V1_bx32_by04,run34,34,0.367136
gpu,1,256,163840,uniform,V1_bx32_by04,run35,35,0.365600
gpu,1,256,163840,uniform,V1_bx32_by04,run36,36,0.366880
gpu,1,256,163840,uniform,V1_bx32_by04,run37,37,0.366400
gpu,1,256,163840,uniform,V1_bx32_by04,run38,38,0.366624
gpu,1,256,163840,uniform,V1_bx32_by04,run39,39,0.365472
gpu,1,256,163840,uniform,V1_bx32_by04,run40,40,0.365152
gpu,1,256,163840,uniform,V1_bx32_by04,run41,41,0.367136
gpu,1,256,163840,uniform,V1_bx32_by04,run42,42,0.366784
gpu,1,256,163840,uniform,V1_bx32_by04,run43,43,0.366976
gpu,1,256,163840,uniform,V1_bx32_by04,run44,44,0.365504
gpu,1,256,163840,uniform,V1_bx32_by04,run45,45,0.365344
gpu,1,256,163840,uniform,V1_bx32_by04,run46,46,0.367104
gpu,1,256,163840,uniform,V1_bx32_by04,run47,47,0.367072
gpu,1,256,163840,uniform,V1_bx32_by04,run48,48,0.366432
gpu,1,256,163840,uniform,V1_bx32_by04,run49,49,0.365248
gpu,1,256,163840,uniform,V1_bx32_by04,run50,50,0.365280
gpu,1,256,163840,uniform,V1_bx32_by04,run51,51,0.366624
gpu,1,256,163840,uniform,V1_bx32_by04,run52,52,0.367168
gpu,1,256,163840,uniform,V1_bx32_by04,run53,53,0.366944
gpu,1,256,163840,uniform,V1_bx32_by04,run54,54,0.365760
gpu,1,256,163840,uniform,V1_bx32_by04,run55,55,0.365696
gpu,1,256,163840,uniform,V1_bx32_by04,run56,56,0.366848
gpu,1,256,163840,uniform,V1_bx32_by04,run57,57,0.367872
gpu,1,256,163840,uniform,V1_bx32_by04,run58,58,0.367008
gpu,1,256,163840,uniform,V1_bx32_by04,run59,59,0.365280
gpu,1,256,163840,uniform,V1_bx32_by04,run60,60,0.365568
gpu,1,256,163840,uniform,V1_bx32_by04,run61,61,0.367232
gpu,1,256,163840,uniform,V1_bx32_by04,run62,62,0.366656
gpu,1,256,163840,uniform,V1_bx32_by04,run63,63,0.366752
gpu,1,256,163840,uniform,V1_bx32_by04,run64,64,0.365856
gpu,1,256,163840,uniform,V1_bx32_by04,run65,65,0.365472
gpu,1,256,163840,uniform,V1_bx32_by04,run66,66,0.367136
gpu,1,256,163840,uniform,V1_bx32_by04,run67,67,0.366912
gpu,1,256,163840,uniform,V1_bx32_by04,run68,68,0.366880
gpu,1,256,163840,uniform,V1_bx32_by04,run69,69,0.365984
gpu,1,256,163840,uniform,V1_bx32_by04,run70,70,0.365472
gpu,1,256,163840,uniform,V1_bx32_by04,run71,71,0.366432
gpu,1,256,163840,uniform,V1_bx32_by04,run72,72,0.366976
gpu,1,256,163840,uniform,V1_bx32_by04,run73,73,0.366688
gpu,1,256,163840,uniform,V1_bx32_by04,run74,74,0.366720
gpu,1,256,163840,uniform,V1_bx32_by04,run75,75,0.365792
gpu,1,256,163840,uniform,V1_bx32_by04,run76,76,0.365216
gpu,1,256,163840,uniform,V1_bx32_by04,run77,77,0.366528
gpu,1,256,163840,uniform,V1_bx32_by04,run78,78,0.366752
gpu,1,256,163840,uniform,V1_bx32_by04,run79,79,0.366720
gpu,1,256,163840,uniform,V1_bx32_by04,run80,80,0.365312
gpu,1,256,163840,uniform,V1_bx32_by04,run81,81,0.365504
gpu,1,256,163840,uniform,V1_bx32_by04,run82,82,0.366656
gpu,1,256,163840,uniform,V1_bx32_by04,run83,83,0.366720
gpu,1,256,163840,uniform,V1_bx32_by04,run84,84,0.366688
gpu,1,256,163840,uniform,V1_bx32_by04,run85,85,0.365632
gpu,1,256,163840,uniform,V1_bx32_by04,run86,86,0.365600
gpu,1,256,163840,uniform,V1_bx32_by04,run87,87,0.366688
